t_idx,timestamp
660,2016-01-28 12:00:00
661,2016-01-28 13:00:00
662,2016-01-28 14:00:00
663,2016-01-28 15:00:00
664,2016-01-28 16:00:00
665,2016-01-28 17:00:00
666,2016-01-28 18:00:00
667,2016-01-28 19:00:00
668,2016-01-28 20:00:00
669,2016-01-28 21:00:00
670,2016-01-28 22:00:00
671,2016-01-28 23:00:00
672,2016-01-29 00:00:00
673,2016-01-29 01:00:00
674,2016-01-29 02:00:00
675,2016-01-29 03:00:00
676,2016-01-29 04:00:00
677,2016-01-29 05:00:00
678,2016-01-29 06:00:00
679,2016-01-29 07:00:00
680,2016-01-29 08:00:00
681,2016-01-29 09:00:00
682,2016-01-29 10:00:00
683,2016-01-29 11:00:00
684,2016-01-29 12:00:00
685,2016-01-29 13:00:00
686,2016-01-29 14:00:00
687,2016-01-29 15:00:00
688,2016-01-29 16:00:00
689,2016-01-29 17:00:00
690,2016-01-29 18:00:00
691,2016-01-29 19:00:00
692,2016-01-29 20:00:00
693,2016-01-29 21:00:00
694,2016-01-29 22:00:00
695,2016-01-29 23:00:00
696,2016-01-30 00:00:00
697,2016-01-30 01:00:00
698,2016-01-30 02:00:00
699,2016-01-30 03:00:00
700,2016-01-30 04:00:00
701,2016-01-30 05:00:00
702,2016-01-30 06:00:00
703,2016-01-30 07:00:00
704,2016-01-30 08:00:00
705,2016-01-30 09:00:00
706,2016-01-30 10:00:00
707,2016-01-30 11:00:00
708,2016-01-30 12:00:00
709,2016-01-30 13:00:00
710,2016-01-30 14:00:00
711,2016-01-30 15:00:00
712,2016-01-30 16:00:00
713,2016-01-30 17:00:00
714,2016-01-30 18:00:00
715,2016-01-30 19:00:00
716,2016-01-30 20:00:00
717,2016-01-30 21:00:00
718,2016-01-30 22:00:00
719,2016-01-30 23:00:00
720,2016-01-31 00:00:00
721,2016-01-31 01:00:00
722,2016-01-31 02:00:00
723,2016-01-31 03:00:00
724,2016-01-31 04:00:00
725,2016-01-31 05:00:00
726,2016-01-31 06:00:00
727,2016-01-31 07:00:00
728,2016-01-31 08:00:00
729,2016-01-31 09:00:00
730,2016-01-31 10:00:00
731,2016-01-31 11:00:00
732,2016-01-31 12:00:00
733,2016-01-31 13:00:00
734,2016-01-31 14:00:00
735,2016-01-31 15:00:00
736,2016-01-31 16:00:00
737,2016-01-31 17:00:00
738,2016-01-31 18:00:00
739,2016-01-31 19:00:00
740,2016-01-31 20:00:00
741,2016-01-31 21:00:00
742,2016-01-31 22:00:00
743,2016-01-31 23:00:00
